text,lang,id,created_at,edit_history_tweet_ids,Cleaned_Text,Sentiment,Freq_stock,Freq_market,Freq_investing,Freq_trade
"RT @fatty_io: Oh man... I’m sitting here at my PC, feeling the urge to game 🎮, but maybe I should hop on #FatBot and do some #trading inste…",en,1864563282922618970,2024-12-05T06:51:43.000Z,['1864563282922618970'],rt oh man im sitting pc feeling urge game maybe hop fatbot trading inste,0.128,0,0,0,0
"KSOLVES is eyeing a critical resistance zone! 🔎 A breakout here could spark a strong move. Keeping it on the radar. 🚀📈 

#StockWatch #MomentumTrading #BreakoutStocks #TradingStrategy #StockMarket #investing #SwingTrading https://t.co/HmYGf8Nq0Z",en,1864563278426288535,2024-12-05T06:51:42.000Z,['1864563278426288535'],ksolves eyeing critical resistance zone breakout could spark strong move keeping radar stockwatch momentumtrading breakoutstocks tradingstrategy stockmarket investing swingtrading,0.4404,3,1,1,0
🚀 BSE Ltd has broken its resistance level of 4989 with high volumes! Looks like the stock is gaining strong upward momentum. 📈 #StockMarket #BSE #Breakout #Trading #stocktowatch https://t.co/CVkJagb63u https://t.co/hAaa5vOkHb,en,1864563260261060823,2024-12-05T06:51:37.000Z,['1864563260261060823'],bse ltd broken resistance level high volumes looks like stock gaining strong upward momentum stockmarket bse breakout trading stocktowatch,0.6705,3,1,0,0
"Invest smarter, not harder. See which Hong Kong stocks are going ex-dividend soon and grow your income stream.
#HongKong #China #stockmarket #invest #StocksToWatch
https://t.co/TOosRSRJrN",en,1864563255970030034,2024-12-05T06:51:36.000Z,['1864563255970030034'],invest smarter harder see hong kong stocks going exdividend soon grow income stream hongkong china stockmarket invest stockstowatch,0.4588,3,1,0,0
"JYOTICNC
#Stockmarketअभ्यास #म #studypurpose #trading https://t.co/Iifum6bzz5",in,1864563222809886914,2024-12-05T06:51:28.000Z,['1864563222809886914'],jyoticnc stockmarket studypurpose trading,0.0,1,1,0,0
"Glyph Exchange is back, ready to redefine how you trade, invest, and grow.
The journey is just beginning.

Join the revolution 🔥

#GlyphExchange #Cryptorewards #Trading https://t.co/tU4JOl7k2v",en,1864563185795109058,2024-12-05T06:51:20.000Z,['1864563185795109058'],glyph exchange back ready redefine trade invest grow journey beginning join revolution glyphexchange cryptorewards trading,0.5719,0,0,0,1
"RT @Glick_develops: Mr Chef🧑‍🍳
Justice is done 🥲📈
#btc100k #trading #crypto https://t.co/PkN88IGxri",en,1864563125837517138,2024-12-05T06:51:05.000Z,['1864563125837517138'],rt mr chef justice done btck trading crypto,0.5267,0,0,0,0
RT @fatty_io: Looks like FatKim is cooking up something big at the computer. Could it be… more $FATTY tokens to fund her fashion empire 💰👗?…,en,1864563114173137381,2024-12-05T06:51:02.000Z,['1864563114173137381'],rt looks like fatkim cooking something big computer could fatty tokens fund fashion empire,0.3612,0,0,0,0
"Memecoins bring fun to the crypto world, but don’t forget about the risks! 🚨 Always choose coins backed by strong communities and solid narratives. Stay ahead by checking out the latest listings on @CoinstoreExc! 🚀
👉 https://t.co/8f3wt0Dl6A
#memecoins #trading #choosecoinstore https://t.co/KAmdYAF6yb",en,1864563108284387392,2024-12-05T06:51:01.000Z,['1864563108284387392'],memecoins bring fun crypto world dont forget risks always choose coins backed strong communities solid narratives stay ahead checking latest listings memecoins trading choosecoinstore,0.8683,0,0,0,0
"And it did cross now 24630 awaiting 24800 now
#nifty #StockMarket https://t.co/HbfMQK5w0H",en,1864563067117269466,2024-12-05T06:50:51.000Z,['1864563067117269466'],cross awaiting nifty stockmarket,0.4019,1,1,0,0
"RT @DexlynLabs: Today’s the day to climb higher! 📈 Daily tasks are up and running. Let’s earn those rewards, fam! 💰🔥 

#Dexlyn #TradingPreL…",en,1864563065951326506,2024-12-05T06:50:51.000Z,['1864563065951326506'],rt todays day climb higher daily tasks running lets earn rewards fam dexlyn tradingprel,0.4767,0,0,0,0
"Whether it’s stocks, commodities or forex, #Trigr delivers the insights you need to stay ahead. Equip your strategy today and elevate your trading. 
Download the app today: https://t.co/kRiyS2NqxL

#AbNoFikar #TrigrApp #Ticker #Trading #FinancialMarkets #FinTech #InvestingTools https://t.co/GoKwtU5AeS",en,1864562932765389283,2024-12-05T06:50:19.000Z,['1864562932765389283'],whether stocks commodities forex trigr delivers insights need stay ahead equip strategy today elevate trading download app today abnofikar trigrapp ticker trading financialmarkets fintech investingtools,0.0,1,1,1,0
"RT @Tren_Nd: صباح الارباح 🔥🔥🔥🔥 حطولي صور ارباحكم لصفقات قبل شوي  , هاد فطورنا 👇🏻 

$SUI / USDT 🔥🔥🔥
$DRIFT / USDT 🔥🔥🔥

تم تفطير متداولين لي…",ar,1864562923986640959,2024-12-05T06:50:17.000Z,['1864562923986640959'],rt sui usdt drift usdt,0.0,0,0,0,0
"RT @JohnTerryrahoz: Memecoins have revolutionized crypto, but navigating negative sentiments is crucial. Trade narrative drivers and commun…",en,1864562871658582187,2024-12-05T06:50:05.000Z,['1864562871658582187'],rt memecoins revolutionized crypto navigating negative sentiments crucial trade narrative drivers commun,-0.5719,0,0,0,1
